Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Kimi no Suizou wo Tabetai,1.0,2018.0,8.56,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
Fate/Zero 2nd Season,12.0,2012.0,8.55,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
Haikyuu!! To the Top Part 2,12.0,2020.0,8.55,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
Zoku Natsume Yuujinchou,13.0,2009.0,8.55,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
Neon Genesis Evangelion: The End of Evangelion,1.0,1997.0,8.55,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
Mushishi: Hihamukage,1.0,2014.0,8.54,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
Slam Dunk,101.0,1993.0,8.54,https://myanimelist.net/anime/170/Slam_Dunk
Bakuman. 3rd Season,25.0,2012.0,8.54,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
Kara no Kyoukai Movie 5: Mujun Rasen,1.0,2008.0,8.53,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
Nana,47.0,2006.0,8.53,https://myanimelist.net/anime/877/Nana
Perfect Blue,1.0,1998.0,8.53,https://myanimelist.net/anime/437/Perfect_Blue
Shingeki no Kyojin,25.0,2013.0,8.53,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Shoujo☆Kageki Revue Starlight Movie,1.0,2021.0,8.53,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
Sora yori mo Tooi Basho,13.0,2018.0,8.53,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
Steins;Gate 0,23.0,2018.0,8.53,https://myanimelist.net/anime/30484/Steins_Gate_0
Summertime Render,25.0,2022.0,8.53,https://myanimelist.net/anime/47194/Summertime_Render
Yuru Camp△ Season 2,13.0,2021.0,8.53,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
Yakusoku no Neverland,12.0,2019.0,8.52,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
Gintama Movie 1: Shinyaku Benizakura-hen,1.0,2010.0,8.52,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
Gintama.: Porori-hen,13.0,2017.0,8.52,https://myanimelist.net/anime/35843/Gintama__Porori-hen
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,26.0,2004.0,8.52,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
Road of Naruto,1.0,2022.0,8.52,https://myanimelist.net/anime/53236/Road_of_Naruto
Samurai Champloo,26.0,2004.0,8.51,https://myanimelist.net/anime/205/Samurai_Champloo
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,1.0,2019.0,8.51,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
Hotaru no Haka,1.0,1988.0,8.51,https://myanimelist.net/anime/578/Hotaru_no_Haka
Kimetsu no Yaiba,26.0,2019.0,8.51,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
Ansatsu Kyoushitsu 2nd Season,25.0,2016.0,8.5,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,39.0,2016.0,8.5,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
Uchuu Kyoudai,99.0,2012.0,8.5,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
One Punch Man,12.0,2015.0,8.5,https://myanimelist.net/anime/30276/One_Punch_Man
Shingeki no Kyojin Season 2,12.0,2017.0,8.5,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
Mob Psycho 100,12.0,2016.0,8.49,https://myanimelist.net/anime/32182/Mob_Psycho_100
Aria the Origination,13.0,2008.0,8.49,https://myanimelist.net/anime/3297/Aria_the_Origination
Banana Fish,24.0,2018.0,8.49,https://myanimelist.net/anime/36649/Banana_Fish
Jujutsu Kaisen 0 Movie,1.0,2021.0,8.49,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
Rainbow: Nisha Rokubou no Shichinin,26.0,2010.0,8.48,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
Yuru Camp△ Movie,1.0,2022.0,8.48,https://myanimelist.net/anime/38475/Yuru_Camp△_Movie
Chihayafuru 3,24.0,2019.0,8.47,https://myanimelist.net/anime/37379/Chihayafuru_3
Gintama: The Semi-Final,2.0,2021.0,8.47,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,1.0,2013.0,8.47,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,1.0,2019.0,8.46,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
Nichijou,26.0,2011.0,8.46,https://myanimelist.net/anime/10165/Nichijou
Fruits Basket: Prelude,1.0,2022.0,8.46,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
Golden Kamuy 3rd Season,12.0,2020.0,8.45,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
Yuu☆Yuu☆Hakusho,112.0,1992.0,8.45,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
